cellType	geneMarker
Enterocytes	ABCC2,ABCG2,ABCG5,ABCG8,ABCP,ABHD11,ACS5,ACSL5,ADCP2,ADFP,ADH6A,ADRP,ALDOB,ALPI,ANPEP,APOA1,APOA4,APOB,APOBEC-1,APOBEC1,APOC3,AQP1,AQP10,AQP11,AQP7,AQP7L,AQP8,AQP9,AQPap,ARGP1,ART3,ASBT,ASCL2,ASPN,ATAD4,B1F2,BC016153,BCRP,BEST4,BGP,BGP1,bHLHa45,bK286B10,Borg3,BTEB2,C10orf125,C14orf66,C16orf36,C20orf42,C6orf169,CA1,CABP1,CABP9K,cadherin,CALB3,Car1,CAR1,CASP6,CBR,CBR1,CCL25,CD13,CD171,CD26,CD338,CD36,CD55,CD66a,CDAR1,CDC42EP5,CDH17,CDH19,CDH7,CDO1,CDX1,CDX2,CDX3,CEACAM1,CED-6,CED6,CEP5,CHAK2,CHIP28,CK20,Ckb15,CKLF,CLCA4B,CLD,CLDN15,CLEC2H,CLR11.4,CMOAT,cMRP,CNT1,CNT2,CO,COL18A1,COL20A1,CP37,CPS1,CRBP2,CRBPII,CREB-H,CREB3L3,CROM,cSDH,CTRB,CTRB1,CYB561A2,CYBRD1,CYP3A3,CYP3A4,CYP3A7,D22S675,D2S1471,DAB1,DAF,DCT1,DCYTB,DEFA24,DEGS2,DES2,DFNA48,DGAT,DGAT1,DGAT2,DGAT2L5,DIL1,dJ230I3.1,DJS,DKFZp547M236,DKFZP566J2046,DMBT1,DOM,DPP4,DRA,DRAGON,DRCC1,DTDST,ECS-1,ECS1,EHF,ELF3,EPHX2,ERT,ESE-1,ESE3,ESEJ,EST157481,ESX,FABP1,FABP2,FABP6,FACL5,FADS8,FAHD1,FBP2,FERMT1,FGF15,FLJ10060,FLJ20116,FLJ20129,FLJ20225,FLJ20251,FLJ22628,FLJ22644,FLJ23462,FLJ26016,FLJ40787,FLJ90406,FLOT2,FPN1,FRRS3,FTF,FTZ-F1,FTZ-F1beta,FucM,FucU,FUOM,FXR,G0S2,GATA4,GBD4,GBPI-1,GDNFRB,GFRA2,GKN3,GLS,GLS1,GLUT2,GLUT5,Gp-340,gp150,GP340,GP3B,GP4,GPCR42,GPIV,GPR172B,GST5,GSTA1,GSTM3,GULP,GULP1,HASH2,hB1F,hB1F-2,HCNT2,hensin,HEPR,HFE4,HL14,HMOX1,HNF4,HNF4A,HO-1,HOMG,HPECT1,HPEPT1,HPT-1,hRFT1,HRR-1,HRR1,HSAS,HSAS1,HSH,HsT17153,I-15P,I-BABP,I-BALB,I-BAP,I-FABP,IKLF,ILBP,ILBP3,ILLBP,IREG1,ISBT,ISX,K20,KCP3,KHK,KIAA0838,KIAA1140,KIAA1510,KIND1,KLF5,KNO,KNO1,KRT20,KRTCAP3,L-FABP,L1CAM,LCT,LGALS2,Lpr4,LRH1,LYPD8,M17S1,M6PRBP1,MAOA,MEP1A,MGAT2,MGC11242,MGC119014,MGC119016,MGC129621,MGC35423,MIC5,MODY,MODY1,MOGAT2,MTP,MTP1,MTTP,MUC13,MUC3,muclin,MXR,MYHL,MYO1A,NAGT,Naked2,NALP6,NHERF3,NKD2,NLRP6,NPC1L1,NR1C3,NR1H4,NR1I1,NR2A1,NR5A2,NRAMP2,NTNRA,OLFR77,OSTalpha,OSTbeta,OTC,P450-HFLA,PAN3,PBCGF,PDHA,PDHA1,PDZD1,PDZK1,PEPN,PEPT1,PHGR1,PLAP-1,PLIN2,PLIN3,PMEPA1,PP1226,PPARG,PPARG1,PPARG2,PPARgamma,PPHA,PPP1R14D,PPP1R163,PRAP1,PRR15L,PRSS2,PRSS32,PYPAF5,RAXLX,RBP2,RBPC2,REG-III,REG3,REG3A,RETL2,RFVT1,RGMB,RIP14,RNF186,S100G,SALSA,SCARB3,SCYA25,SDR21C1,SDS-RS1,SDSL,SGLT1,SI,SLC10A2,SLC11A2,SLC11A3,SLC15A1,SLC23A1,SLC23A2,SLC26A2,SLC26A3,SLC28A1,SLC28A2,SLC2A2,SLC2A5,SLC30A10,SLC35F1,SLC39A5,SLC40A1,SLC51A,SLC51B,SLC52A1,SLC5A1,SLC65A2,SLRR1C,SMAP2,SMOC2,SOX10,SPG1,SPNT1,SPON2,STAG1,STSL,SVCT1,TC,TCF14,TECK,Tiff66,TIP47,TM4SF5,TM6SF2,TMC4,TMEM45B,TMEPAI,TREA,TREH,TRNR2,TRPM6,TRY2,TRY4,TRY5,TTC7,TTC7A,UGT2B17,UNC112A,URP1,VDR,VIL,VIL1,VMD2L2,VNN1,vomeroglandin,WBSCR21,WS2E,WS4,YSPL3,ZnT-10
Enteroendocrine cell	ACBD4,ACSM1,ADAMTSL3,AK1D1,AKR1D1,ANKRD20A9P,AOX1,AOXA,APCD1,APCDD1,ARSI,ASB8,ATL3,BEND4,C14orf37,C1QT3,C1QTNF3,C20orf197,C20orf78,CBPA1,CBPZ,CHMP1B2P,CN037,CPA1,CPZ,CT078,CT197,DERM,DPT,ELANE,ELNE,F162B,FAM162B,FBXL7,FRAS1,GFRA2,HOXC11,HRAT56,HXC11,ISLR,ITIH4-AS1,KCNAB1-AS1,LOX,LSAMP-AS1,LYOX,MADCA,MADCAM1,MEI4,METTL1,MFS11,MFSD11,MSC,MUSC,NANO1,NANOS1,NTF3,P4HA2-AS1,PCDH8,PLS5,PLSCR5,PMGT2,POMGNT2,PPP1R18,PPR18,PRD14,PRDM14,RASA1,RFX3-AS1,RGAG4,RHBDD1,RHBL4,RPL23AP82,S36A4,SACS,SH3GL1P1,SHISA3,SHSA3,SLC36A4,TOE1,TRI62,TRIM62,TRIQK,TRMB,TRPC3,TTLL3,WHAL1,WHAMMP3,ZBBX,ZN608,ZNF503-AS1,ZNF608
Eosinophil	ADGRE1,AGRE1,C3AR,C3AR1,C5AR1,CCR1,CCR3,CD114,CD116,CD11b,CD11c,CD123,CD124,CD125,CD126,CD129,CD14,CD15,CD16,CD183,CD191,CD193,CD23,CD24,CD244,CD25,CD294,CD305,CD33,CD35,CD43,CD44,CD45,CD48,CD49d,CD52,CD53,CD54,CD64,CD66b,CD66e,CD69,CD81,CD88,CD9,CEACAM5,CEACAM8,CEAM5,CEAM8,CR1,CSF2R,CSF2RA,CSF3R,CXCL8,CXCR3,ECP,EMBP,EPO,F4/80,Fc-epsilon RI-alpha,FCER1A,FCER2,FCERA,FCG3A,FCG3B,FCGR1,FCGR1A,FCGR3A,FCGR3B,FUT4,Galectin-9,HLA-DR,HLA-DR family,ICAM1,IL-13,IL-3 receptor alpha subunit,IL-3R-alpha,IL-4,IL-5,IL-5R-alpha,IL-8,IL13,IL2RA,IL3RA,IL4,IL4R,IL4RA,IL5,IL5RA,IL6R,IL6RA,IL8,IL9R,ITA4,ITAM,ITAX,ITGA4,ITGAM,ITGAX,LAIR1,LEG9,LEUK,LGALS9,MRP-14,PD2R2,PRG2,PTGDR2,PTPRC,RNASE3,S100A9,S10A9,SIG10,SIGL8,Siglec-10,SIGLEC10,SIGLEC8,SPN,SSEA-1
Eosinophils	2B4,AZ3B,BMPG,C3AR,C3AR1,C5A,C5AR,C5AR1,C5R1,CAGB,CC-CKR-3,CCL11,CCL5,CCR1,CCR3,CD125,CD15,CD183,CD191,CD193,CD23,CD23A,CD244,CD294,CD69,CD88,CDw125,CGLB,CKR-L2,CKR3,CLEC2C,CLEC4J,CMKAR3,CMKBR1,CMKBR3,CPA3,CRTH2,CSF2,CXCR3,D17S136E,EAR1,EAR2,ECP,EDF,EDN,ELFT,eotaxin,EPP,EPX,EPX-PEN,FCE2,FCER2,FUC-TIV,FUT4,GM-CSF,GMCSF,GPR44,GPR9,Helios,IKZF2,IL-5,IL5,IL5R,IL5RA,IP10-R,LIAG,LTC4S,MAC387,MBP,MBP2,MBPH,MGC126774,MGC17164,MGC22554,MGC33147,MGC59785,MIF,MigR,MIP1aR,MRP14,NAIL,NIF,NKR2B4,Nmrk,PGLYRP,PGLYRP1,PGRP,PGRP-S,PGRPS,PRG2,PRG3,PRO940,proMBP,PTGDR2,RAF1,RAF3,RANTES,RNASE2,RNASE3,RNS2,RNS3,S100A9,SAF2,SCYA11,SCYA5,SCYAR1,SIGLEC-10,SIGLEC-8,SIGLEC10,SIGLEC8,SIGLEC8L,SIGLECF,SISd,SLAMF4,SLG2,TAG7,TCP228,TNFSF3L,ZNFN1A2
Ependymal cell	ADGRC2,AK7,AK8,ANGPTL2,AQP1,AQP4,B7,bA2K17.3,bA444G7,BLU,BPIFE,c-myb,C10orf63,C12orf55,C12orf63,C13orf30,C1orf192,C1orf230,C1orf88,C2orf62,C9orf98,CALML4,CATIP,CCDC108,CCDC153,CDHF10,CDS1,CELSR2,CETN4,CFAP106,CFAP122,CFAP126,CFAP44,CFAP54,CFAP65,CHEK2,CHIP28,CHK2,CILD22,CILD24,CK15,CO,CROCC,CRYGN,CT122,D22S749,DHC3,DKFZp434B227,DKFZp434O0527,DLP12,DNAAF7,DNAH12,DNAH12L,DNAH7L,Dnahc3,DNCL2B,DNHD2,DNLC2B,DRC9,DYNLRB2,EFNB3,EGFL2,ENKUR,enkurin,Epb7.2l,EPLG8,FAM166B,FAM183B,FAM216B,FKHL13,Flamingo1,Flattop,FLJ11142,FLJ14226,FLJ23172,FLJ23577,FLJ23853,FLJ31514,FLJ32704,FLJ32753,FLJ32864,FLJ36032,FLJ36112,FLJ40427,FLJ40919,FLJ44112,FLJ44290,FLJ45472,Fltp,FOXJ1,GFAP,HDC,hdhc3,HFH-4,HFH4,HL-19,HP10433,HPE2,HSPA2,HuCds1,IQCG,IQM1,K15,K1CO,KIAA0279,KIAA0315,KIAA0543,KIAA0865,KPL2,KRT15,LERK-8,LIN-41,LIN41,LOC283152,LRPB7,LRRC23,M3S1,MEGF3,MEIG1,MGC10744,MGC26778,MGC27019,MGC35338,MGC4809,MGC50811,MIWC,MM1,MYB,MYO16,Myo16b,MYR8,NCRNA00166,NM23-H9,NME9,NY-BR-20,NYAP3,ODF3B,PCP4L1,PIFO,pitchfork,PLEXB2,PLTP,PLXNB2,PP1425,PPP1R107,PVALB,RABL2,RAD53,RARRES2,RFX2,RIIAD1,ROBLD2,ROLT,rootletin,RSP44,RSPH1,RSPH10A,S100B,S100beta,SCO-spondin,SIX3,SPATA39,SPEF2,SRO,SSPO,STOML3,TEKT1,TEKT4,TIG2,TM4SF1,TMEM107,TMEM212,TRIM71,TSGA2,TXL-2,TXNDC6,USP18,WDR52,ZMYND10
Epiblast cell	AARS2,AB12B,ABC3C,ABC3D,ABHD12B,ACE,ANKRD45,ANR45,APOBEC3C,APOBEC3D,ARGFX,ARH,ASH2L,AT8B2,ATP8B2,BCOR,BTLA,CAMKV,CAPG,CASP8,CBFA2T2,CCD80,CCDC80,CDHR1,CFLAR,CHST2,CMC1,CPT1A,CRBL2,CREBL2,CXCL12,DND1,DOCK6,DPPA2,DPPA4,DPPA5,ESRG,ETV1,ETV4,F124A,F16P1,F234A,FA46B,FAM124A,FAM234A,FAM46B,FBP1,FGF4,GDF3,GGT1,GK,GLPK,GPC5C,GPRC5C,GUC1A,GUCA1A,HEY2,IFITM1,IFM1,IGSF1,IL23A,ITFG3,KLF17,LAP4B,LAPTM4B,LDLRAP1,LIM2,LMIP,LRP4,M4K1,MA1C1,MAN1C1,MAP4K1,MOT9,MT1X,MTG8R,MUC4,NANOG,NGEF,NLRP9,NODAL,NRBP2,PA24F,PBX3,PIM2,PITM2,PITPNM2,PLA2G4F,PO5F1,POU5F1,PRD14,PRDM14,PRUN2,PRUNE2,PS1C2,PSORS1C2,RAD,RASD1,RRAD,SAT1,SDF1,SERC5,SERINC5,SERPINB6,SH3PXD2A,SHPK,SIA7C,SLC16A9,SLC25A12,SOX2,SPB6,SPD2A,ST6GALNAC3,SUSD2,SYAM,TBC16,TBC1D16,TDGF1,TDGF1P3,TDGF3,TNFRSF8,TNR8,TRI56,TRIM56,UBTD1,UNC5B,UPP1,USP28,UTF1,VASH2,VENTX,VISL1,VSNL1,WNT3,ZIC3,ZSC10,ZSCAN10,ZY11A,ZYG11A
Epidermal stem cell	CD200,CD29,CD34,CD46,CD49f,Cytokeratin-14,Frizzled-2,Frizzled-3,Frizzled-7,FZD2,FZD3,FZD7,ITA6,ITB1,ITGA6,ITGB1,K1C14,KRT14,MCP,MCSP,NES,NEST,Nestin,OX2G,P63,SMCP,TENA,Tenascin C,TNC,TP63,YAP1
Epidermal transit amplifying cell	FABP5,PA-FABP
Epithelial cell	Adhesion molecules,Adhesion molecules LFA2,ALCAM,AMACR,AMPN,ANDR,Androgen receptor,ANPEP,AP2C,AR,Beta-catenin,BIRC5,CADH1,CADH2,CD10,CD103,CD104,CD105,CD106,CD117,CD121a,CD126,CD13,CD130,CD133,CD14,CD141,CD166,CD167,CD167a,CD1d,CD1D,CD227,CD24,CD31,CD324,CD326,CD34,CD40,CD44R,CD45,CD49f,CD66a,CD75,CDH1,CDH2,CEACAM1,CEAM1,CK19,Claudin-1,CLD1,CLD4,CLDN1,CLDN4,CTNB1,CTNNB1,Cytokeratin,Cytokeratin family,Cytokeratin-18,Cytokeratin-19,Cytokeratin-7,Cytokeratin-8,DDR1,DESP,DMD,DSP,E-cadherin,E-Cadherin,EGLN,EMA,ENG,EpCAM,EPCAM,Epithelial Sodium Channels alpha,Epithelial Sodium Channels beta,Epithelial Sodium Channels delta,Epithelial Sodium Channels gamma,ESA,Fc part of the IgG,FLOT2,FOLR1,FUT4,FZ4,FZD4,GCDFP15,GCG,GLUC,Glucagon,ICAM1,IL1R1,IL6R,IL6RA,IL6RB,IL6ST,iNOS,INS,Insulin,ITA6,ITAE,ITB4,ITGA6,ITGAE,ITGB4,K19,K1C10,K1C13,K1C14,K1C15,K1C16,K1C18,K1C19,K22E,K2C1,K2C3,K2C5,K2C6A,K2C6B,K2C7,K2C8,K8,Keratin-1,Keratin-10,Keratin-13,Keratin-14,Keratin-15,Keratin-16,Keratin-18,Keratin-19,Keratin-2,Keratin-3,Keratin-5,Keratin-6,Keratin-7,Keratin-8,KIT,KLF6,KLK3,KLKB1,KRT1,KRT10,KRT13,KRT14,KRT15,KRT16,KRT18,KRT19,KRT2,KRT3,KRT5,KRT6A,KRT6B,KRT7,KRT8,LFA1,MCAB51,MHC class II,MME,MUC,MUC family,MUC1,N-cadherin,NEP,NOS2,Occludin,OCLN,P63,PAX2,PDPN,PECA1,PECAM1,PIP,PROM1,Prostate specific antigen,PSPB,PSPC,PTPRC,SFTPB,SFTPC,SFTPD,SIAT1,SMA,SMN,SMN1,SSEA-1,ST6GAL1,Surfactant protein A,Surfactant protein B,Surfactant protein C,Surfactant protein D,Survivin,TEK,TFAP2C,THBD,TIE-2,TIE2,TJP1,TJP2,TNR5,TP63,TRBM,VCAM1,VIM,VIME,Vimentin,VLA2,VLA3,VLA4,VLA5,VLA6,WNT4,ZO-1,ZO-2,ZO1,ZO2
Epithelial hair follicle stem cell	CD200,Cytokeratin-15,Cytokeratin-19,K1C15,K1C19,KRT15,KRT19,OX2G
Epithelial progenitor cell	CD24,CD44,CEACAM6,CEAM6,NGFR,P75,TNR16
Epithelial stem cell	NGFR,P75,TNR16
Epsilon cell	2A9,ACS1,ACSL1,ADAM-TS6,ADAMTS6,ADAMTSL6,ADMP,AFF3,ANX13,ANXA13,APOH,ARX,ASGR1,ATC2,B2G1,BG,BHMT,BHMT1,BMP2B,BMP4,C20orf102,C2ORF54,C3orf57,C5orf4,CABP,CACY,CALCR,CD109,CD49d,CD49D,CK8,CLEC4H1,CMD1J,COL12A1,COL12A1L,COL22A1,CORIN,COX6A2,CPAMD7,CSNU3,CT121,CTR,CYK8,DFNA10,DFNA48,dJ1118M15.2,DKFZp762L1111,EIEE1,ELOVL2,EP4,EYA4,FACL1,FACL2,FAM124A,FAXDC2,FLJ10343,FLJ12539,FLJ13710,FLJ13758,FLJ22671,FLJ30707,FLJ38569,FRE,FRITZ,FRP-3,FRZB,FRZB-1,FRZB-PEN,FRZB1,FVSY9334,FZRB,ghrelin,GHRL,GHRL-AS1,GHRLOS,GRAMD2,hFIZ,HMGCS2,HNOEL-iso,HRH2,ISSX,ITGA4,K2C8,K8,KO,KOR,KRT8,LACS,LACS1,LAF4,Lrp4,MLLT2-like,MRX29,MRX32,MRX33,MRX36,MRX38,MRX43,MRX54,MRX76,MRX87,MRXS1,MS4A8A,MTLRP,MYHL,MYO1A,NCRNA00068,NKX2-2,NKX2.2,NKX2B,NPY1R,NTT5,obestatin,OLF44,OLFML3,OPRK,OPRK1,PACE4,PCSK6,PCTT,PHGR1,PRA,PRO34005,PRSC,PRTS,PSTI,PTGER4,S100A6,SFRP3,SLC6A16,SLC7A9,SPC4,SPINK1,Spink3,SPTSSB,SRFP3,Ssc2,ssSPTb,TATI,THSD4,TM4SF5,TMPRSS10,VN,VSTM2L,VTN,XYLB
Erythroblast	AHSP,ALAS2,CA1,CAH1,CD71,GLPA,GYPA,HBB,HBE,HBE1,HEM0,TFR1,TFRC
Erythroblasts	APOER2,BCL11A,BCL11A-L,BCL11A-S,BCL11A-XL,bHLHa17,BPGM,C-Kit,CD105,CD117,CD235a,CD29,CD324,CD44,CD44R,CD71,CDH1,CFP,CGA,CSPG8,CTIP1,D12,EKLF,END,ENG,EPOR,ERYF1,ETS-1,ETS1,EVI9,FAM38A,FLJ10768,FNRB,FSHA,GATA-1,GATA1,GPA,GPHa,GPHA1,GPIIA,GRSF1,GYPA,HBFQTL5,HCELL,HFE3,HHT1,HSZ75190,IGBP1,IN,ITGB1,KIAA0233,KIT,KLF1,KMT5A,LHA,LMNB1,LMO2,LRP-8,LRP8,MC56,MCI1,MDF2,MDS032,MDU2,MDU3,MIC4,MSK12,NFE1,ORW,ORW1,p90,PBT,PFC,Pgp1,PIEZO1,PR-Set7,RBTN2,RBTNL1,RECQ3,RECQL2,RHOM2,SCFR,SET07,SET8,SETD8,SLT1,TAL1,TCL5,TFR1,TFR2,TFRC,TFRC2,TSHA,TTG2,USE1,UVO,uvomorulin,WRN,ZNF856
Erythroid cell	GLPA,GPA,GYPA,TFR,TFR1,TFRC
Erythroid precursor	CD35,CR1,GlyA,GLYM,SHMT2
Erythroid-like and erythroid precursor cell	4.1-G,4.1R,A2HS,AE1,AHSG,AHSP,ALAD,ALADH,ALAS2,APOA1,AQP1,ARA70,ARG1,ASB,ASNS,beta-globin,BGP,BGP1,BMIQ4,BPGM,BTN5,BZRPL1,C-Kit,C10orf137,CAGA,CAGB,CAR1,CCNA,CCNA2,CD113t-C,CD117,CD233,CD235a,CD235b,CD236,CD236R,CD238,CD240D,CD241,CD36,CD44,CD44R,CD47,CD49d,CD49D,CD55,CD59A,CD66a,CEACAM1,CGI-69,CGLA,CGLB,CHIP28,cig5,CLDN13,CO,COX6B2,COXVIB2,CROM,CSPG8,CT102,CT155,CT59,DAF,DCAF12,DI,DIIIc,dJ34B21.2,dJ800J21.2,DKFZP434O125,DKFZp586F1019,DKFZp686C0818,DKFZp762E1112,ECE3,EDAG,EDRF,EDRF1,EKLF,EL1,ELE1,EPB3,EPB41,EPB41L2,EPB42,EPOR,ERAF,ERBA-BETA,ERBA2,ERMAP,FECH,FETUA,FGARAT,FLJ21617,FLJ22407,FLJ25987,FLJ32865,FLJ38497,FOSB,FR,G0S3,GATD8,Ge,GH,GOS3,GOSB,GP3B,GP4,GPA,GPB,GPC,GPIV,GYPA,GYPB,GYPC,GYPD,HBA-A1,HBA-A2,HBA-T2,HBA-T3,HBA-X,HBA1,HBA2,HBAP2,HBB,HBB-BH1,HBB-BS,HBB-BT,HBD,HBG-T1,HBG-T2,HBG1,HBG2,HBK,HBM,HCELL,HEMGN,HEXA,hIKCa1,HIST1H2AO,hKCa4,HMBS,HSGA,hSK4,HSRNASEB,HT015,HTATSF1,HUCEP11,IK,IN,ITGA4,KCa3.1,KCNN4,KEL,KIAA0361,KIAA1892,KIT,KLF1,LIAG,LOX,MAC387,MC56,MDU2,MDU3,MER6,MFRN,MFRN1,MGC1058,MGC116735,MGC116737,MGC42291,MGC50844,MGC8385,MIC4,MIF,MRP14,MSCP,NACP,NCOA4,NIF,NR1A2,OA3,P8,PAN3,PARK1,PARK4,PBGD,PBGS,PBT,PDXPO,Penumbra,PFAS,Pgp1,PKLR,PNPO,PRTH,PTC3,PURL,RBM38,RFG,Rh30a,Rh4,RH50A,RHAG,RHD,RhII,RhPI,RNPC1,RSAD2,RTA1A,S100A8,S100A9,SC,SCARB3,SCFR,seb4B,SEB4D,SLC25A37,SLC25A39,SLC25A8,SLC42A1,SLC4A1,SNCA,STFA1,SW,TAT-SF1,TC,TCC52,THBS,THBS-1,THBS1,THR1,THRB,THRB1,THRB2,TMCC2,TSP,TSP-1,TSP1,TSPAN33,TSPO2,UBB,UCP2,UPS,UROD,UROS,VAMP5,vig1,viperin,WD,WDR40A,WR
Esophageal mucosal cell	DCLK1
Exhausted CD4+ T cell	AAKG1,ADA19,ADAM19,AHI1,AK1A1,AKAP5,AKR1A1,AMPL,ARF,ARHGAP9,ASB2,ATP5C1,ATP6V1A,ATX1,ATXN1,BATF,BHLHE40-AS1,BST2,BTLA,C9orf16,CAMK1,CAPZB,CATD,CCD50,CCDC50,CD38,CD82,CD84,CDKN2A,CHIN,CHN1,CI016,CKAP2,CLH1,CLTC,CREM,CTLA4,CTSD,CXCL13,CXL13,DBNL,DNPH1,DR1,DUS4,DUSP4,ENTP1,ENTPD1,EPSTI1,ERF3A,ESIP1,ETV7,F2R,FKBP1A-SDCBP2,FUT8,G3P,GALM,GAPDH,GBG4,GBP4,GCR,GNG4,GSPT1,HAVCR2,HAVR2,HNRNPK,HNRPK,I27L2,ICOS,IFI27L2,IFI35,IFNG,IGFLR1,IGFR1,IKZF3,IL21,IN35,ITA2,ITGA2,ITM2A,KAP0,KCC1A,KCNK5,KPYM,LAP3,LASP1,LIMA1,LIMS1,LINC00963,LYST,MAF,MAP1LC3A,MAPK3,MAPKAPK3,METL8,METTL8,MIR155HG,MLP3A,N4BP2,NAB1,NC2B,NDFIP2,NFIP2,NMI,NR3C1,NTF2,NUTF2,OGG1,PAR1,PDCD1,PDE7B,PHEX,PHTF2,PKM,PRKAG1,PRKAR1A,PSME2,PTN11,PTPN11,PTTG1,QCR6,RAB11FIP1,RABGAP1L,RBG10,RBPJ,RFIP1,RGS1,RGS2,RHBD2,RHBDD2,RHG09,RILPL2,RIPL2,RN19A,RNF19A,SARDH,SC6A6,SFXN1,SHFM1,SIA8A,SIRPG,SL9A9,SLAF5,SLC6A6,SLC9A9,SMC5,SPOCK2,SQRDL,SRGN,ST8SIA1,SUH,SUSD6,SYNJ1,SYWC,TBC1D2B,TBD2B,TBXAS1,THAS,TICN2,TIGIT,TMEM2,TNFL8,TNFRSF18,TNFSF8,TNR18,TOX,TOX2,TPI1,TPIS,TRAF3,TRPS1,UB2L6,UBE2L6,UNQ6494,UQCRH,VATA,WARS,WSB2,ZBED2,ZEB1
Exhausted CD8+ T cell	ABC3C,ABC3D,ABC3F,ABC3G,ABCG1,ACP5,ACSL4,ACTN4,AF1L2,AFAP1L2,AHI1,AIP,AKAP5,AMD,ANKRD10,ANR10,ANXA5,APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3G,ARC1B,ARHGAP9,ARI5B,ARID5B,ARL3,ARNT,ARPC1B,ASB2,AT10D,AT8B4,ATP10D,ATP8B4,ATX1,ATXN1,B2L11,BATF,BCL2L11,BL1S2,BLOC1S2,BST2,BTG3,C17orf62,C1TC,CACO2,CALCOCO2,CALM3,CAMK1,CAPZA2,CASL,CASP3,CAT,CATA,CATB,CATD,CAZA2,CB046,CBLB,CC141,CCDC141,CCL3,CCND2,CD200,CD27,CD27-AS1,CD2B2,CD2BP2,CD38,CD63,CD7,CD70,CD82,CD84,CHST12,CHSTC,CLCL1,CLECL1,CLNK,CLSTN3,COQ10B,COTL1,CQ062,CQ10B,CREM,CSF1,CSK2B,CSNK2B,CSTN3,CTLA4,CTNA1,CTNB1,CTNNA1,CTNNB1,CTSB,CTSD,CXCL13,CXCR6,CXL13,DCA11,DCAF11,DDX60,DGKH,DMA,DRA,DRAP1,DUS4,DUSP4,EID1,EKI1,ENTP1,ENTPD1,ENTPD1-AS1,EPSTI1,ESIP1,ETNK1,ETV1,EWS,EWSR1,FAM3C,FASLG,FIBP,FKB1A,FKBP1A,FKBP1A-SDCBP2,FUT8,G3P,GABARAPL1,GALM,GALNT2,GALT2,GAPDH,GATA3,GBP1,GBP2,GBP4,GBRL1,GCNT1,GCSP,GFOD1,GGA2,GLDC,GMDS,GNDS,GOLI4,GOLIM4,GPD2,GPDM,GSTO1,GTF2I,GTR8,HAVCR2,HAVR2,HLA-DMA,HLA-DRA,HMOX1,HNRLL,HNRNPLL,I27L2,ICAM3,ICOS,ID2,ID3,IF16,IFI16,IFI27L2,IFI35,IFI6,IFNG,IGFLR1,IGFR1,IKZF3,IL21R,IL2RB,IN35,INPP5F,IRF2,IRF9,ITAE,ITGAE,ITM2A,JMJD4,KAP0,KCC1A,KI20B,KI2L4,KIF20B,KIR2DL4,KLRC4,KPCL,KPYM,KRT86,LAG3,LAT2,LAYN,LDHA,LIMK1,LIMS1,LINC00299,LINC00963,LSM2,LSP1,LY65B,LY6E,LY6G5B,LYST,M18BP,M4A6A,MAD2L2,MAP2K3,MAPK3,MAPKAPK3,MAPRE2,MARE2,MCL1,MD2L2,MIR155,MIR155HG,MIR4632,MIR497HG,MIS18BP1,MP2K3,MS4A6A,MTDC,MTHFD1,MTHFD2,MX1,MYO1E,MYO7A,NAB1,NAPA,NASP,NC2A,NCF4,NDFIP2,NEDD9,NFAT5,NFIP2,NKG2F,NR4A2,NRBP,NRBP1,NTAL,NUDT5,OAS3,OASL,OS9,OSBL3,OSBPL3,OX2G,P2RY10,P2Y10,PAM,PAR14,PARK7,PARP14,PDCD1,PDE7B,PDLI7,PDLIM7,PELI1,PFKAP,PFKP,PHEX,PHLA1,PHLDA1,PHTF2,PKM,PLPP1,PLS1,PLSCR1,PMF1,PMF1-BGLAP,PON2,PPA5,PPIP1,PPM1G,PPM1M,PRDM1,PRDX5,PRKAR1A,PRKCH,PSA5,PSMA5,PSME2,PSTPIP1,PTGIS,PTMS,PTN11,PTN22,PTN7,PTPN11,PTPN22,PTPN7,RAB27A,RALGDS,RB27A,RBPJ,RFX5,RGS1,RGS2,RHBD2,RHBDD2,RHG09,RHOH,RIN3,RN19A,RNF19A,RNF31,S4A5,SAC2,SAM9L,SAMD9L,SAMN1,SAMSN1,SARDH,SCO2,SE1L3,SEL1L3,SEM4A,SEMA4A,SHFM1,SIRPG,SKIV2L2,SLA,SLAF5,SLAP1,SLC2A8,SLC4A5,SNAA,SNAP47,SNG2,SNP47,SNX17,SNX9,SORCN,SP140,SPTAN1,SPTN1,SRGAP3,SRGN,SRGP3,SRI,SSH1,STAM,STAM1,STAR4,STARD4,STAT3,SUH,SUSD6,SYNGR2,SYWC,SYYC,TBC1D4,TBCD4,TBK1,TBL1R,TBL1XR1,TENS3,TET2,TFR1,TFRC,TIGIT,TISB,TNAP3,TNFAIP3,TNFL4,TNFL6,TNFRSF1B,TNFRSF9,TNFSF4,TNR1B,TNR9,TNS3,TOX,TOX2,TPI1,TPIS,TRAD1,TRAF5,TRAFD1,TRPS1,TTC24,TTYH3,TYMP,TYPH,UB2L6,UBASH3B,UBE2L6,UBS3B,VAMP5,VCAM1,VMP1,WARS,WHRN,YARS,ZBED2,ZFP36L1,ZMYM5,ZNF79
Exhausted T cell	BTLA,BY55,CD152,CD160,CD223,CD244,CD272,CD278,CD279,CD3,CD366,CD3D,CD3E,CD3G,CD4,CD8,CD8A,CD96,CTLA4,EOMES,HAVCR2,HAVR2,ICOS,LAG3,PDCD1,TACT,TIGIT,VISTA
